brand,C타입,고속충전,디자인,멀티탭,충전,충전기,케이스,콘센트,타입,파우치,포트
GHF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD홍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
N해외직구,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UM2 COBY,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0
WOHNEN,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0
morac,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
movic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yullshop,5.0,3.2,3.8,0.0,3.3,5.0,4.0,0.0,5.0,4.4,5.0
가우넷,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가플스토어,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
감비앤코,3.6,5.0,5.0,0.7,2.8,3.3,4.6,0.9,3.4,4.3,3.3
굿세라,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
까만몰,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,2.5,0.0,5.0,0.0
단디판다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대신이앤엘,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
디엘티테크코리아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
로리스토어,2.5,0.0,5.0,0.0,1.2,0.0,0.0,5.0,2.9,0.0,0.0
멀티아,5.0,5.0,5.0,5.0,2.5,-5.0,4.3,5.0,5.0,0.0,5.0
멜리언스 스토어,3.2,1.4,4.6,1.7,2.5,1.9,4.0,1.5,3.2,4.3,3.3
바이미니멀,3.3,0.0,5.0,0.0,2.9,5.0,5.0,-5.0,3.3,0.0,5.0
