,Set Combination,Intersection,set_number,word_percent
1,"('subset_충전',)","['포트', '여행', 'C타입', '충전기', '핸드폰', '충전', '고속충전', '가능']",1,22.86
3,"('subset_여행',)","['해외여행', '어댑터', '케이스', '여행', '일본', '멀티어댑터', '충전', '멀티탭', '유럽']",1,26.91
4,"('subset_디자인',)","['케이스', '이쁘고', '디자인']",1,9.79
5,"('subset_어댑터',)","['플러그', '어댑터', '해외여행', '멀티어댑터', '여행', '해외', '충전기', '충전', '콘센트', '가능']",1,24.55
6,"('subset_콘센트',)","['플러그', '호주', '어댑터', '고정', '작동', '불편', '여행', '일본', '멀티어댑터', '해외', '연결', '충전', '콘센트', '가능', '유럽', '있']",1,26.37
7,"('subset_파우치',)","['여행', '파우치']",1,7.25
8,"('subset_포트',)","['포트', 'USB포트', 'C타입', '충전', '고속충전']",1,14.77
9,"('subset_C타입',)","['포트', '타입', 'USB포트', 'C타입', '충전']",1,13.72
10,"('subset_가능',)","['포트', '국가', 'C타입', '핸드폰', '충전', '고속충전', '동시', '가능']",1,17.4
11,"('subset_고속충전',)","['C타입', '포트', '충전', '고속충전']",1,13.81
12,"('subset_멀티탭',)","['어댑터', '해외여행', '여행', '충전기', '연결', '충전', '멀티탭']",1,19.92
13,"('subset_충전기',)","['선', '어댑터', '여행', '짐', 'C타입', '충전기', '충전', '고속충전']",1,21.35
15,"('subset_충전', 'subset_여행')","['여행', '충전']",2,13.33
17,"('subset_충전', 'subset_어댑터')","['여행', '가능', '충전기', '충전']",2,16.14
18,"('subset_충전', 'subset_콘센트')","['여행', '가능', '충전']",2,15.05
20,"('subset_충전', 'subset_포트')","['C타입', '포트', '충전', '고속충전']",2,13.81
21,"('subset_충전', 'subset_C타입')","['C타입', '포트', '충전']",2,12.22
22,"('subset_충전', 'subset_가능')","['포트', 'C타입', '핸드폰', '충전', '고속충전', '가능']",2,16.6
23,"('subset_충전', 'subset_고속충전')","['C타입', '포트', '충전', '고속충전']",2,13.81
24,"('subset_충전', 'subset_멀티탭')","['여행', '충전기', '충전']",2,14.43
25,"('subset_충전', 'subset_충전기')","['여행', 'C타입', '충전기', '충전', '고속충전']",2,18.01
38,"('subset_여행', 'subset_어댑터')","['해외여행', '어댑터', '여행', '멀티어댑터', '충전']",2,17.95
39,"('subset_여행', 'subset_콘센트')","['어댑터', '여행', '일본', '멀티어댑터', '충전', '유럽']",2,18.53
45,"('subset_여행', 'subset_멀티탭')","['어댑터', '해외여행', '여행', '충전', '멀티탭']",2,18.08
46,"('subset_여행', 'subset_충전기')","['여행', '어댑터', '충전']",2,15.86
56,"('subset_어댑터', 'subset_콘센트')","['플러그', '어댑터', '멀티어댑터', '여행', '해외', '충전', '콘센트', '가능']",2,22.45
60,"('subset_어댑터', 'subset_가능')","['가능', '충전']",2,9.88
62,"('subset_어댑터', 'subset_멀티탭')","['어댑터', '해외여행', '여행', '충전기', '충전']",2,17.97
63,"('subset_어댑터', 'subset_충전기')","['여행', '어댑터', '충전기', '충전']",2,16.96
67,"('subset_콘센트', 'subset_가능')","['가능', '충전']",2,9.88
69,"('subset_콘센트', 'subset_멀티탭')","['여행', '어댑터', '연결', '충전']",2,16.6
70,"('subset_콘센트', 'subset_충전기')","['여행', '어댑터', '충전']",2,15.86
77,"('subset_포트', 'subset_C타입')","['C타입', 'USB포트', '포트', '충전']",2,13.18
78,"('subset_포트', 'subset_가능')","['C타입', '포트', '충전', '고속충전']",2,13.81
