,Set Combination,Intersection,set_number,word_percent,not_in_intersection,concated_word_list,word_percent_concated
1,"('subset_충전',)","['포트', 'C타입', '핸드폰', '충전', '충전기', '일본', '기기', '동시', '고속충전']",1,19.52,[],"['포트', 'C타입', '핸드폰', '충전', '충전기', '일본', '기기', '동시', '고속충전']",19.52
3,"('subset_디자인',)","['케이스', '디자인']",1,10.53,[],"['케이스', '디자인']",10.53
4,"('subset_어댑터',)","['멀티어댑터', '케이스', '해외', '포트', 'C타입', '해외여행', '플러그', '어댑터', '충전', '충전기', '일본', '콘센트']",1,31.12,[],"['멀티어댑터', '케이스', '해외', '포트', 'C타입', '해외여행', '플러그', '어댑터', '충전', '충전기', '일본', '콘센트']",31.12
5,"('subset_콘센트',)","['호주', '멀티어댑터', '고정', '작동', '해외', '국가', '포트', '플러그', '어댑터', '불편', '충전', '연결', '일본', '유럽', '무게', '충전기', '콘센트']",1,25.33,[],"['호주', '멀티어댑터', '고정', '작동', '해외', '국가', '포트', '플러그', '어댑터', '불편', '충전', '연결', '일본', '유럽', '무게', '충전기', '콘센트']",25.33
7,"('subset_포트',)","['충전', 'USB포트', '포트', 'C타입']",1,14.17,[],"['충전', 'USB포트', '포트', 'C타입']",14.17
8,"('subset_C타입',)","['타입', '충전', '포트', 'C타입']",1,13.73,[],"['타입', '충전', '포트', 'C타입']",13.73
9,"('subset_고속충전',)","['C타입', '고속충전', '포트']",1,6.07,[],"['C타입', '고속충전', '포트']",6.07
10,"('subset_멀티탭',)","['멀티탭', '해외', '포트', '해외여행', '코드', '어댑터', '충전', '충전기', '연결']",1,19.58,[],"['멀티탭', '해외', '포트', '해외여행', '코드', '어댑터', '충전', '충전기', '연결']",19.58
11,"('subset_충전기',)","['멀티탭', '짐', 'C타입', '어댑터', '충전', '충전기', '선', '고속충전']",1,18.71,[],"['멀티탭', '짐', 'C타입', '어댑터', '충전', '충전기', '선', '고속충전']",18.71
14,"('subset_충전', 'subset_어댑터')","['포트', 'C타입', '충전', '일본', '충전기']",2,15.45,['어댑터'],"['포트', 'C타입', '충전', '일본', '충전기', '어댑터']",18.18
15,"('subset_충전', 'subset_콘센트')","['일본', '충전', '충전기', '포트']",2,13.31,['콘센트'],"['일본', '충전', '충전기', '포트', '콘센트']",15.68
17,"('subset_충전', 'subset_포트')","['충전', '포트', 'C타입']",2,13.14,[],"['충전', '포트', 'C타입']",13.14
18,"('subset_충전', 'subset_C타입')","['충전', '포트', 'C타입']",2,13.14,[],"['충전', '포트', 'C타입']",13.14
19,"('subset_충전', 'subset_고속충전')","['포트', '고속충전', 'C타입']",2,6.07,['충전'],"['포트', '고속충전', 'C타입', '충전']",14.85
20,"('subset_충전', 'subset_멀티탭')","['충전', '충전기', '포트']",2,12.18,['멀티탭'],"['충전', '충전기', '포트', '멀티탭']",13.49
21,"('subset_충전', 'subset_충전기')","['충전', '충전기', '고속충전', 'C타입']",2,13.82,[],"['충전', '충전기', '고속충전', 'C타입']",13.82
39,"('subset_어댑터', 'subset_콘센트')","['멀티어댑터', '해외', '포트', '플러그', '어댑터', '충전', '충전기', '일본', '콘센트']",2,21.27,[],"['멀티어댑터', '해외', '포트', '플러그', '어댑터', '충전', '충전기', '일본', '콘센트']",21.27
41,"('subset_어댑터', 'subset_포트')","['충전', '포트', 'C타입']",2,13.14,['어댑터'],"['충전', '포트', 'C타입', '어댑터']",15.87
42,"('subset_어댑터', 'subset_C타입')","['충전', '포트', 'C타입']",2,13.14,['어댑터'],"['충전', '포트', 'C타입', '어댑터']",15.87
43,"('subset_어댑터', 'subset_고속충전')","['포트', 'C타입']",2,4.36,"['어댑터', '고속충전']","['포트', 'C타입', '어댑터', '고속충전']",8.8
44,"('subset_어댑터', 'subset_멀티탭')","['해외', '포트', '해외여행', '어댑터', '충전', '충전기']",2,16.94,['멀티탭'],"['해외', '포트', '해외여행', '어댑터', '충전', '충전기', '멀티탭']",18.24
45,"('subset_어댑터', 'subset_충전기')","['어댑터', '충전', '충전기', 'C타입']",2,14.83,[],"['어댑터', '충전', '충전기', 'C타입']",14.83
47,"('subset_콘센트', 'subset_포트')","['충전', '포트']",2,11.0,['콘센트'],"['충전', '포트', '콘센트']",13.37
48,"('subset_콘센트', 'subset_C타입')","['충전', '포트']",2,11.0,"['콘센트', 'C타입']","['충전', '포트', '콘센트', 'C타입']",15.51
50,"('subset_콘센트', 'subset_멀티탭')","['해외', '포트', '어댑터', '충전', '충전기', '연결']",2,16.65,"['콘센트', '멀티탭']","['해외', '포트', '어댑터', '충전', '충전기', '연결', '콘센트', '멀티탭']",20.32
51,"('subset_콘센트', 'subset_충전기')","['어댑터', '충전', '충전기']",2,12.69,['콘센트'],"['어댑터', '충전', '충전기', '콘센트']",15.06
57,"('subset_포트', 'subset_C타입')","['충전', '포트', 'C타입']",2,13.14,[],"['충전', '포트', 'C타입']",13.14
58,"('subset_포트', 'subset_고속충전')","['포트', 'C타입']",2,4.36,['고속충전'],"['포트', 'C타입', '고속충전']",6.07
59,"('subset_포트', 'subset_멀티탭')","['충전', '포트']",2,11.0,['멀티탭'],"['충전', '포트', '멀티탭']",12.3
60,"('subset_포트', 'subset_충전기')","['충전', 'C타입']",2,10.92,"['포트', '충전기']","['충전', 'C타입', '포트', '충전기']",14.32
61,"('subset_C타입', 'subset_고속충전')","['포트', 'C타입']",2,4.36,['고속충전'],"['포트', 'C타입', '고속충전']",6.07
62,"('subset_C타입', 'subset_멀티탭')","['충전', '포트']",2,11.0,"['C타입', '멀티탭']","['충전', '포트', 'C타입', '멀티탭']",14.45
63,"('subset_C타입', 'subset_충전기')","['충전', 'C타입']",2,10.92,['충전기'],"['충전', 'C타입', '충전기']",12.1
65,"('subset_고속충전', 'subset_충전기')","['고속충전', 'C타입']",2,3.85,['충전기'],"['고속충전', 'C타입', '충전기']",5.03
66,"('subset_멀티탭', 'subset_충전기')","['어댑터', '멀티탭', '충전', '충전기']",2,13.99,[],"['어댑터', '멀티탭', '충전', '충전기']",13.99
